585557125730033664	2015-04-07 21:37:52	Watch ATR Channel Live TV from Crimea http://t.co/7kdMmXNuO8 #ukraine, #tv, #stream	Win the Customer	3006163275	ukrainetvradio	ukrainetvradio	World	_NONE_	513	0	5	Ukrainian Television and Radio
585546267557818368	2015-04-07 20:54:43	RT @kasiadear33: Putin\'s 2008 Comments On Crimea, Before A Sharp Change Of Tack http://t.co/6DgzFG6PFN	RoundTeam	3025428083	Putin Stop	StopPutinstop	Brussels	_NONE_	3297	560	220	The reign of terror of Vladimir Putin must stop. We must stand united. against his threat.
585545829638868993	2015-04-07 20:52:59	Putin\'s 2008 Comments On Crimea, Before A Sharp Change Of Tack http://t.co/6DgzFG6PFN	Twitter Web Client	923951622	Kasia Krawczyk	kasiadear33	New York and Norwalk	Eastern Time (US & Canada)	9459	722	367	Independent Graphic Designer. Medieval art, calligraphy and good books.
585539475884920832	2015-04-07 20:27:44	#Putin\'s 2008 Comments On #Crimea, Before A Sharp Change Of Tack http://t.co/QSIMsJXd4V	Twitter Web Client	2536846951	Boris	Shockedaboutyou	_NONE_	_NONE_	768	88	7	_NONE_
585538934081454080	2015-04-07 20:25:35	#Putin\'s 2008 Comments On #Ukraine, Before A Sharp Change Of Tack - \'#Crimea is not a disputed territory\' http://t.co/AN7SZYaTMM via @rferl	Twitter Web Client	2440151414	Mateusz Zatonski	ZatonskiMateusz	London, UK	_NONE_	338	290	125	Doctoral researcher at London School of Hygiene and Tropical Medicine. Historian. Co-editor of @crossingbaltic and researcher at @promocjazdrowia. Views own.
585536019912622081	2015-04-07 20:14:00	RT @ChrisRulon: Not as much as your sister got for protecting Israel and for lying about Crimea/Ukraine. @FluorescentGrey	Twitter for Android	1316302548	Veritas Exveniet	daysi2013	London	_NONE_	5695	194	427	Geopolitical researcher and columnist.
585511235967410176	2015-04-07 18:35:31	Not as much as your sister got for protecting Israel and for lying about Crimea/Ukraine. @FluorescentGrey	Twitter Web Client	861344060	Not Dov Zakheim	ChrisRulon	Camp Crystal Lake	Eastern Time (US & Canada)	70927	642	1448	9/11 truth,anti-war,civil libertarian,pro-Palestinian and pro-justice for all. Neocon killer. Counter psy-ops. Faux-left media killer.  http://t.co/xotE9xW6pe
585497173263024128	2015-04-07 17:39:38	Putin\'s 2008 Comments On Crimea, Before A Sharp Change Of Tack http://t.co/J9o9umPNSI	IFTTT	340816654	Civil Vision Int'l	Civil_Vision	International	Berlin	50876	2549	3331	Civil Vision International connects, informs and inspires citizens toward international freedom, peace and stability. RTs are not endorsements.
585487868040192001	2015-04-07 17:02:40	RT @awkwardgoogle: Mount Ai-Petry at night, Crimea, Ukraine. It is like a bridge to the sky. http://t.co/qt2zCrA8dW	Twitter for iPhone	2572354180	Jessica_job	JobJudicyjob	windhoek	_NONE_	841	101	192	IG: @Jessica_job
585487755972628481	2015-04-07 17:02:13	RT @AmazingPicx: Mount Ai-Petry at Night, Crimea, Ukraine http://t.co/sjuUjaWvnT	Twitter for Android Tablets	603527254	Craz	fatimagp10	Porto - Espinho	Casablanca	40517	149	2165	_NONE_
585470370632839171	2015-04-07 15:53:08	RT @vissgtx: "@SgforgoodStella: Morning from beautiful #Crimea #Ukraine -) http://t.co/3rVXKFs4Pg"	Twitter for iPhone	3118660265	Darcy	DarcyCarnforth	_NONE_	_NONE_	11548	745	1322	love life love music love people no DM please
585458945742999552	2015-04-07 15:07:44	@TelegraphNews Will they then annex like Crimea &amp; Ukraine ????\xf0\x9f\x98\xa9\xf0\x9f\x98\xa9\xf0\x9f\x98\xa9\xf0\x9f\x98\xa9\xf0\x9f\x98\xa9	Twitter for iPad	2958552807	Podger Friend	PodgerF	_NONE_	_NONE_	1605	98	18	_NONE_
585452356847837184	2015-04-07 14:41:33	@loudobbsnews   What is there not to understand.....Libya.. Iraq...Syria...Crimea....Ukraine...Yemen....Iran....next?	Twitter Web Client	263403738	Kris Murphy	KrisinAL	Blount County  Alabama	Central Time (US & Canada)	18300	987	557	Fiscally Conservative. Environmentally sensitive. GOP has good ideas and so do the Democrats...so why can\'t we all get along and get something done???
585448539838410752	2015-04-07 14:26:23	Putin\'s 2008 Comments On Crimea, Before A Sharp Change Of Tack http://t.co/KzQlbL22GH	Twitter Web Client	377583261	_ERROR_EXCEPTION_
585444750100135936	2015-04-07 14:11:20	#Imports to #Russia plunged 35.6% in Q1 (down $21.2B from Q1-2014), largely due to #sanctions over #Crimea, #Ukraine. http://t.co/8trMjGFhma	Twitter Web Client	225693975	NewsEdge	newsedge	Worldwide	Eastern Time (US & Canada)	6477	163	428	Real-time business & breaking news \xe2\x80\x93 authoritative sources, not gossip.   Know on the go with NewsEdge!
585439903443509248	2015-04-07 13:52:04	@NotMattBellamy Are you in Ukraine, or in Crimea (Ukraine), I wonder if they are lying about the reactor being out of sub., truth is rare	Twitter Web Client	1050521179	Chris	SarniamakChris	Canada	_NONE_	4939	1196	231	_NONE_
585437365075836928	2015-04-07 13:41:59	RT @HCMess: Putin Conducting \xe2\x80\x98Hybrid Genocide\xe2\x80\x99 Against Crimean Tatars, Muzhdabayev Says. #Crimea #Ukraine http://t.co/7xhKSgyq37	Twitter for iPad	2447664324	UKReality	UKreality	United Kingdom	_NONE_	10921	408	233	British citizen supporting Ukraine. Retweets for interest not always endorsement.
585433853596147712	2015-04-07 13:28:02	It\'s obvious Putin cannot be trusted, he is a typical KGB criminal with criminal tendencies. Say one thing do another http://t.co/J0GXK01v2N	Twitter for iPad	22829737	Channels	ChannelsConsult	_NONE_	Central Time (US & Canada)	3155	172	96	A peace advocate, speaking out for the weak, oppressed and the voiceless, inrespective of whichever faith you belongs or part of the world you\'re from.
585433345846284288	2015-04-07 13:26:01	RT @HCMess: Putin Conducting \xe2\x80\x98Hybrid Genocide\xe2\x80\x99 Against Crimean Tatars, Muzhdabayev Says. #Crimea #Ukraine http://t.co/7xhKSgyq37	RoundTeam	3025428083	Putin Stop	StopPutinstop	Brussels	_NONE_	3297	560	220	The reign of terror of Vladimir Putin must stop. We must stand united. against his threat.
585432990320328705	2015-04-07 13:24:36	Putin\'s 2008 Comments On Crimea, Before A Sharp Change Of Tack... http://t.co/EZeqJhCLo1	iOS	255804172	Alakbar Raufoglu	ralakbar	Washington, DC	Eastern Time (US & Canada)	13914	994	1638	Journalist covering Eurasia
585432705418002433	2015-04-07 13:23:28	Putin Conducting \xe2\x80\x98Hybrid Genocide\xe2\x80\x99 Against Crimean Tatars, Muzhdabayev Says. #Crimea #Ukraine http://t.co/7xhKSgyq37	iOS	829779132	Helen Mess	HCMess	USA	_NONE_	31082	1648	872	Proud of my Ukrainian heritage!
585423168128581632	2015-04-07 12:45:34	My #diary. #Yalta (#Crimea, #Ukraine) \nThe beginning of #April\n\n#bw, #black &amp; #white, #instaday, #instasize, #insta\xe2\x80\xa6 http://t.co/hgVTxtOLVe	IFTTT	2569265209	_ERROR_EXCEPTION_
585412136911900673	2015-04-07 12:01:44	via @RFERL #Russia Putin\'s 2008 Comments On Crimea, Before A Sharp Change Of Tack http://t.co/7K5joLs7uB	Hootsuite	392636701	Bruce K. Anderson	BruceKAnderson	Washington, DC area	Berlin	61386	2109	2136	Army retiree and federal employee interested in national security. Posting does not = agreement. Opinions my own, not necessarily my employer\'s.
585410511694462977	2015-04-07 11:55:17	http://t.co/8EaYvovx3F : Putin\'s 2008 Comments On Crimea, Before A Sharp Change Of Tack: In an intervi... http://t.co/AVKoa2q9lL [RFE/RL]	twitterfeed	107968051	expatua.com	expatua	Kyiv, Ukraine	Kyiv	31013	131	555	Representing the International Expat Community in Ukraine since 2003
585401812577955842	2015-04-07 11:20:43	#RadioFreeEurope Putin\'s 2008 Comments On Crimea, Before A Sharp Change Of Tack: In an interview wit... http://t.co/XbO3MnNpvs #Russland	twitterfeed	1560353168	RussiaNews	BemBeate	_NONE_	_NONE_	9601	0	16	_NONE_
585397374308200448	2015-04-07 11:03:04	RT @AmazingPicx: Mount Ai-Petry at Night, Crimea, Ukraine http://t.co/sjuUjaWvnT	Twitter for iPhone	2971465649	Bailey	baileysyd3	_NONE_	_NONE_	19	66	16	_NONE_
585386050735968256	2015-04-07 10:18:05	RT @Piclogy: Swallow\'s Nest Castle, Crimea, Ukraine http://t.co/aSSYnt6a2T	Twitter for Android	2758750863	DeAnne C.	DeannePccn	Chicago, IL	_NONE_	2067	939	646	Registered Nurse, world traveler, avid photographer, & sassy girl!
585349331890208768	2015-04-07 07:52:10	Have we nuked the #Kremlin yet over #Crimea &amp; #Ukraine	dnotice2012_ebooks app	3071074352	Not G Winchester	dnotice_ebooks	Definitely not London	_NONE_	303	4	5	Definitely not @dnotice2012
585344069368287232	2015-04-07 07:31:15	RT @AmazingPicx: Mount Ai-Petry at Night, Crimea, Ukraine http://t.co/sjuUjaWvnT	Twitter for iPad	2341555141	phnani	yamsri_Nani	_ERROR_EXCEPTION_
585323930707070976	2015-04-07 06:11:14	Sebastapol, Crimea (Ukraine/Russia?) To coincide with a themed month of posts about Ukraine and\xe2\x80\xa6 https://t.co/qF4XV1SFN5	Instagram	475160595	Lewis Bush	LewisKayBush	London, UK.	London	17330	354	2173	I shoot, write, talk, curate, and teach about photography, journalism, history and art. Run the Disphotic blog at http://t.co/4n5ln6RUew
585321497264201728	2015-04-07 06:01:34	RT @TonyNashOnAsia: @NarenMenon1 NATO underestimated Russia\'s passion for Crimea &amp; Ukraine. Has the West forgotten how to be strategic to a\xe2\x80\xa6	Twitter for iPhone	1290278593	Naren Ramakrishna	NarenMenon1	Kuala Lumpur, Malaysia	Kuala Lumpur	25113	400	663	Malaysian, Indian and everything in between. Energy industry professional who advocates development of unconventionals and nuclear power. Very Right of Centre
585321367190405120	2015-04-07 06:01:03	@NarenMenon1 NATO underestimated Russia\'s passion for Crimea &amp; Ukraine. Has the West forgotten how to be strategic to achieve geopol goals?	Twitter for Android	218718269	Tony Nash	TonyNashOnAsia	Singapore	Singapore	7579	954	1225	Economics, trade, risk in or affecting Asia. VP @deltaeconomics. Former EIU & IHS. A decade in Asia. Tweets are mine.
585292030927962112	2015-04-07 04:04:29	Why Russia\'s Evangelicals Thank God for Putin #Putin #Christians #Russia #RussianChristians https://t.co/NazSK2up56	LinkedIn	2249523421	Andrew Higgins	AndrewHigsdrew	Newport Beach, California, USA	_NONE_	1917	68	64	Independent Investor, trader and analyst.
585280800842723329	2015-04-07 03:19:51	RT @AmazingPicx: Mount Ai-Petry at Night, Crimea, Ukraine http://t.co/sjuUjaWvnT	Twitter for Android	628722290	Carlos Pedro	CaarlosPedro31	Aveiro	Lisbon	9270	222	442	Aveiro/15anos/G.D.Gafanha/Futsal
585254937552003072	2015-04-07 01:37:05	Russia to test migrants seeking residency on Crimea http://t.co/hxOlC9Vdoj #ukraine	dlvr.it	2447116771	Ukraine Crisis	ukrainedilemma	_NONE_	_NONE_	14800	16	133	UA: \xd0\xa3\xd0\xba\xd1\x80\xd0\xb0\xd1\x97\xd0\xbd\xd0\xb0 \xd0\xba\xd1\x80\xd0\xb8\xd0\xb7\xd0\xb0 - RU: \xd0\xa3\xd0\xba\xd1\x80\xd0\xb0\xd0\xb8\xd0\xbd\xd0\xb0 \xd0\xba\xd1\x80\xd0\xb8\xd0\xb7\xd0\xb8\xd1\x81 - EN: Ukraine crisis - ES: crisis de Ucrania - CHN: \xe4\xb9\x8c\xe5\x85\x8b\xe5\x85\xb0\xe5\x8d\xb1\xe6\x9c\xba
585248447311273984	2015-04-07 01:11:17	Antique Crimea Ukraine War 1879 Turkey Russia Army Siege Destruction Bombardment http://t.co/c234AwDqrG http://t.co/6qr9G8clzk	IFTTT	2977375247	deluxe item	hervelimas	_NONE_	_NONE_	33613	40	24	deluxe item
585242506641727489	2015-04-07 00:47:41	UkrainianGirl - Breaks Down Media Lies #Crimea #Ukraine: https://t.co/aa2R5hjhWR via @YouTube	Twitter Web Client	354980832	robin monfort	44actor	cincinnati	_NONE_	2910	307	67	actor,sales,what ever.
585234699372617729	2015-04-07 00:16:40	RT @Castle_Pix: The Swallow\'s Nest is a decorative castle situated on a steep cliff over the sea in South Crimea, Ukraine. http://t.co/u4CW\xe2\x80\xa6	Twitter Web Client	2781843242	Wall Meat	TastyWallMeat	Dracula's Castle, Wallachia	Tijuana	30281	2171	2069	Inexplicable nourishment of vampire slayers everywhere.
585210359914463232	2015-04-06 22:39:57	RT @AmazingPicx: Mount Ai-Petry at Night, Crimea, Ukraine http://t.co/sjuUjaWvnT	Twitter for Android	867729606	_ERROR_EXCEPTION_
585200255181971457	2015-04-06 21:59:47	RT @2111015: Hackers leak messages between the Kremlin and #France\xe2\x80\x99s far-right National Front. #LePen #Crimea #Ukraine http://t.co/krurp3wU\xe2\x80\xa6	Twitter Web Client	22657288	Cannoneer No. 4	cannoneerno4	_NONE_	Kabul	7102	1566	890	Distributed, non-hierachical loose-cannon cyber-arbakai of the Amriki tribe
585196410620006400	2015-04-06 21:44:31	Rest of world \'dismayed\' at theft of Crimea #Ukraine Russia \'dismayed\' at Saudi strikes in Yemen http://t.co/OA2WSdIPPU via @YahooNews\xe2\x80\x9d	Twitter for iPhone	1347766734	Ellielushnews	ElaineHynes3	My front room	_NONE_	11891	128	145	loves tattoos interested in world affairs and geopolitics wars and more Retweets are not endorsements; views are my own reporting news
