INFO  - 2015-04-07 19:10:08.283; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-04-07 19:10:08.306; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/contexts at interval 0
INFO  - 2015-04-07 19:10:08.311; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/contexts/solr-jetty-context.xml
INFO  - 2015-04-07 19:10:08.354; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/webapps/solr.war!/ to /Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr-webapp/webapp
INFO  - 2015-04-07 19:10:09.555; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-04-07 19:10:09.606; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2015-04-07 19:10:09.621; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-04-07 19:10:09.621; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2015-04-07 19:10:09.622; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2015-04-07 19:10:09.712; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr/solr.xml
INFO  - 2015-04-07 19:10:09.844; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr
INFO  - 2015-04-07 19:10:09.852; org.apache.solr.core.CoreContainer; New CoreContainer 2052039240
INFO  - 2015-04-07 19:10:09.853; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2015-04-07 19:10:09.863; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2015-04-07 19:10:09.864; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-04-07 19:10:09.867; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-04-07 19:10:09.869; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-04-07 19:10:09.869; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-04-07 19:10:09.869; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-04-07 19:10:09.869; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-04-07 19:10:09.870; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-04-07 19:10:09.870; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-04-07 19:10:09.988; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-04-07 19:10:09.989; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-04-07 19:10:09.990; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-04-07 19:10:10.039; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr
INFO  - 2015-04-07 19:10:10.045; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr/collection1/
INFO  - 2015-04-07 19:10:10.046; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2015-04-07 19:10:10.047; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr/collection1
INFO  - 2015-04-07 19:10:10.047; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr/collection1/'
